Product Name,Brand,Price,Link,Image
Whitening,Opalescence,85,https://www.notino.cz/opalescence/original-formula-belici-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//opalescence/883205029492_01-o__160127.jpg
Extreme Whitening,Swissdent,315,https://www.notino.cz/swissdent/extreme-zubni-pasta/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190037_01-o__121205.jpg
Whitening Sensitivity Relief,Opalescence,97,https://www.notino.cz/opalescence/sensitivity-relief-belici-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//opalescence/883205029430_01-o__160513.jpg
Whitening,MEDIBLANC,193,https://www.notino.cz/mediblanc/whitening-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//mediblanc/3760275386502-o__221107.jpg
Mintperfekt Activ,Ziaja,49,https://www.notino.cz/ziaja/mintperfekt-activ-remineralizujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//ziaja/5901887039921-o__170327.jpg
Caries Protection Kids,Elmex,86,https://www.notino.cz/elmex/caries-protection-kids-zubni-pasta-pro-deti-73190/,https://cdn.notinoimg.com/list_2k//elmex/7610108056354_01-o__230215.jpg
Whitening Mint,Marvis,104,https://www.notino.cz/marvis/whitening-mint-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//marvis/8004395111718_01-o__171120.jpg
Caries Protection,Elmex,494,https://www.notino.cz/elmex/caries-protection-zubni-pasta-chranici-pred-zubnim-kazem-s-fluoridem-73186/,https://cdn.notinoimg.com/list_2k//elmex/4007965560002_11-o__140311.jpg
Tooth Mousse,GC,106,https://www.notino.cz/gc/tooth-mousse-tutti-frutti-remineralizacni-ochranny-krem-pro-citlive-zuby-bez-fluoridu/,https://cdn.notinoimg.com/list_2k//gc/2800011949248_01-o__160324.jpg
Professional White Plus,Splat,96,https://www.notino.cz/splat/professional-white-plus-bioaktivni-zubni-pasta-pro-setrne-beleni-a-ochranu-zubni-skloviny/,https://cdn.notinoimg.com/list_2k//splat/7640168930134_01-o__220908.jpg
Original White,G.U.M,87,https://www.notino.cz/gum/original-white-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//gum/gumorwu_ktps10__131106.jpg
Whitening,Parodontax,73,https://www.notino.cz/parodontax/whitening-belici-zubni-pasta-proti-krvaceni-dasni-80256/,https://cdn.notinoimg.com/list_2k//parodontax/5999518582175_01-o__140428.jpg
Natural Siberian Siberian Pearl,Natura Siberica,110,https://www.notino.cz/natura-siberica/natural-siberian-siberian-pearl-belici-zubni-pasta-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174437548_01-o__190611.jpg
Sensitive Whitening,Elmex,130,https://www.notino.cz/elmex/sensitive-whitening-pasta-pro-prirozene-bile-zuby-73519/,https://cdn.notinoimg.com/list_2k//elmex/8714789899299_01-o__140528.jpg
